,year,month,index,count,sample
0,2017,1,2660996976.0,97,https://www.instagram.com/p/BC9wNwDHuQr/
1,2017,1,2812159600.0,43,https://www.instagram.com/p/BEs-xymx-bM/
2,2017,1,2284384601.0,27,https://www.instagram.com/p/BM325aPD0Xr/
3,2017,1,2157999039.0,13,https://www.instagram.com/p/BPvFGP9FWLz/
4,2017,1,1990900773.0,9,https://www.instagram.com/p/CALGpX-h_Wd/
5,2017,4,5380376286.0,98,https://www.instagram.com/p/BTbh_y3lwJl/
6,2017,4,1423291959.0,71,https://www.instagram.com/p/BSkcRZMAXW3/
7,2017,4,2812159600.0,53,https://www.instagram.com/p/BEs-xymx-bM/
8,2017,4,4946540791.0,29,https://www.instagram.com/p/BikTYSjgJzL/
9,2017,4,5326644396.0,27,https://www.instagram.com/p/BTYBvrjgP5N/
10,2017,5,4799010861.0,875,https://www.instagram.com/p/BTZgFNBBiDC/
11,2017,5,3236360707.0,176,https://www.instagram.com/p/CAIevs1JaTW/
12,2017,5,2812159600.0,163,https://www.instagram.com/p/BEs-xymx-bM/
13,2017,5,2598631248.0,158,https://www.instagram.com/p/BTZJFhRA1pP/
14,2017,5,5439651637.0,126,https://www.instagram.com/p/BT36CsPBm0C/
15,2017,12,3236360707.0,159,https://www.instagram.com/p/CAIevs1JaTW/
16,2017,12,6067019804.0,62,https://www.instagram.com/p/BaXQpfmHMxx/
17,2017,12,2308345453.0,48,https://www.instagram.com/p/BSEge1cANMt/
18,2017,12,6738991113.0,31,https://www.instagram.com/p/BcxGiwQFLTi/
19,2017,12,5695650588.0,24,https://www.instagram.com/p/BaZxs8mHlQI/
20,2018,1,3236360707.0,162,https://www.instagram.com/p/CAIevs1JaTW/
21,2018,1,6738991113.0,29,https://www.instagram.com/p/BcxGiwQFLTi/
22,2018,1,3155929490.0,22,https://www.instagram.com/p/BaoslzyDpeG/
23,2018,1,2308345453.0,21,https://www.instagram.com/p/BSEge1cANMt/
24,2018,1,5892930019.0,18,https://www.instagram.com/p/BefLhg_F-B0/
25,2018,4,4799010861.0,517,https://www.instagram.com/p/BTZgFNBBiDC/
26,2018,4,3236360707.0,154,https://www.instagram.com/p/CAIevs1JaTW/
27,2018,4,7284505249.0,48,https://www.instagram.com/p/Bg0eydsAbKP/
28,2018,4,6139399702.0,48,https://www.instagram.com/p/Bh5yIKlHRHr/
29,2018,4,2308345453.0,43,https://www.instagram.com/p/BSEge1cANMt/
30,2018,5,4799010861.0,332,https://www.instagram.com/p/BTZgFNBBiDC/
31,2018,5,3236360707.0,186,https://www.instagram.com/p/CAIevs1JaTW/
32,2018,5,4946540791.0,137,https://www.instagram.com/p/BikTYSjgJzL/
33,2018,5,3263654696.0,79,https://www.instagram.com/p/BTjh1kRAnwE/
34,2018,5,1556743234.0,76,https://www.instagram.com/p/Bitbkl4lVYh/
35,2018,12,3236360707.0,76,https://www.instagram.com/p/CAIevs1JaTW/
36,2018,12,8602023690.0,54,https://www.instagram.com/p/Bn4NC8lBoSw/
37,2018,12,8099859454.0,33,https://www.instagram.com/p/CAHrV7mJsST/
